sl_no,career,stream_after_12th,required_skills,preferred_interests,education_level_min,time_years_avg,cost_inr_avg,difficulty_level,risk_level,popularity_in_india,career_description,experiment_tasks_sample
101,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
102,Fashion Design (VP Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Design leading design organization.,Define design vision;Lead design teams;Drive brand creative strategy;Present to board;Publish design thought leadership
103,Government Job - Union Finance Secretary Level,Any (UPSC),general studies;finance;policy;leadership,public service;finance;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Finance Secretary.,Formulate national finance policy;Coordinate finance ministries;Advise Finance Minister;Lead fiscal policy;Represent India internationally
104,Software Engineer (Chief Technology Officer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Technology Officer leading technology vision.,Define technology vision;Lead engineering organization;Drive innovation;Present to board;Publish tech thought leadership
105,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,3500000,high,medium,very high,Chief AI Officer leading AI vision.,Define AI vision;Lead AI organization;Drive AI transformation;Secure board approval;Present globally
106,Data Scientist (Chief Data Officer),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + C-level experience,15,3500000,high,medium,high,Chief Data Officer leading data vision.,Define data vision;Lead data organization;Drive data transformation;Publish thought leadership;Present globally
107,Cybersecurity Specialist (Chief Security Officer),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + C-level experience,15,3500000,very high,medium,very high,Chief Security Officer leading security vision.,Define security vision;Lead security organization;Report to board;Publish security thought leadership;Present globally
108,Digital Marketing (Chief Marketing Officer),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + C-level experience,15,3500000,medium,low,very high,Chief Marketing Officer leading marketing vision.,Define marketing vision;Lead marketing organization;Drive revenue growth;Publish marketing thought leadership;Present globally
109,Fashion Design (Chief Creative Officer),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Creative Officer leading global fashion brands.,Define creative vision;Lead design organization;Present collections globally;Collaborate with luxury houses;Drive brand legacy
110,Government Job - Union Home Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Home Secretary.,Formulate national home policy;Coordinate security ministries;Advise Home Minister;Lead national security;Represent India internationally
111,Software Engineer (VP Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Engineering leading engineering organization.,Define engineering vision;Lead multiple engineering teams;Drive technical strategy;Present to board;Publish technical thought leadership
112,AI/ML Engineer (VP AI),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + VP-level experience,15,3000000,high,medium,very high,VP AI leading AI organization.,Define AI vision;Lead AI teams;Drive AI strategy;Secure funding;Present to board
113,Data Scientist (VP Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + VP-level experience,15,3000000,high,medium,high,VP Data leading data organization.,Define data vision;Lead data teams;Drive data strategy;Publish thought leadership;Present to board
114,Cybersecurity Specialist (VP Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + VP-level experience,15,3000000,very high,medium,very high,VP Security leading security organization.,Define security vision;Lead security teams;Drive security strategy;Publish security thought leadership;Present to board
115,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
116,Fashion Design (VP Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Design leading design organization.,Define design vision;Lead design teams;Drive brand creative strategy;Present to board;Publish design thought leadership
117,Government Job - Union Finance Secretary Level,Any (UPSC),general studies;finance;policy;leadership,public service;finance;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Finance Secretary.,Formulate national finance policy;Coordinate finance ministries;Advise Finance Minister;Lead fiscal policy;Represent India internationally
118,Software Engineer (Chief Technology Officer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Technology Officer leading technology vision.,Define technology vision;Lead engineering organization;Drive innovation;Present to board;Publish tech thought leadership
119,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,3500000,high,medium,very high,Chief AI Officer leading AI vision.,Define AI vision;Lead AI organization;Drive AI transformation;Secure board approval;Present globally
120,Data Scientist (Chief Data Officer),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + C-level experience,15,3500000,high,medium,high,Chief Data Officer leading data vision.,Define data vision;Lead data organization;Drive data transformation;Publish thought leadership;Present globally
121,Cybersecurity Specialist (Chief Security Officer),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + C-level experience,15,3500000,very high,medium,very high,Chief Security Officer leading security vision.,Define security vision;Lead security organization;Report to board;Publish security thought leadership;Present globally
122,Digital Marketing (Chief Marketing Officer),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + C-level experience,15,3500000,medium,low,very high,Chief Marketing Officer leading marketing vision.,Define marketing vision;Lead marketing organization;Drive revenue growth;Publish marketing thought leadership;Present globally
123,Fashion Design (Chief Creative Officer),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Creative Officer leading global fashion brands.,Define creative vision;Lead design organization;Present collections globally;Collaborate with luxury houses;Drive brand legacy
124,Government Job - Union Home Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Home Secretary.,Formulate national home policy;Coordinate security ministries;Advise Home Minister;Lead national security;Represent India internationally
